%%MatrixMarket matrix coordinate real general
65536 65536 38769
4	50349	1
4	61573	1
10	2363	1
10	5568	1
10	9927	1
10	15138	1
10	48819	1
10	58185	1
10	63862	1
13	52781	1
21	23755	1
21	24589	1
21	30845	1
21	43807	1
21	52281	1
21	55715	1
21	59690	1
24	17568	1
24	18881	1
24	27620	1
24	29775	1
24	45037	1
24	54421	1
24	62082	1
34	80	1
34	974	1
34	6186	1
34	7580	1
34	8681	1
34	10920	1
34	14315	1
34	16697	1
34	18410	1
34	19651	1
34	21444	1
34	24084	1
34	25800	1
34	35257	1
34	52549	1
34	59826	1
39	1752	1
39	5877	1
39	10281	1
39	15383	1
39	17460	1
39	20813	1
39	22497	1
39	37434	1
39	38557	1
39	47865	1
39	48490	1
39	50882	1
39	53872	1
39	55196	1
39	58590	1
39	58835	1
50	23121	1
50	55939	1
51	9187	1
51	10924	1
51	15178	1
51	24228	1
51	27638	1
51	30781	1
51	41201	1
51	52402	1
51	61111	1
53	16238	1
53	18098	1
53	28271	1
53	33664	1
53	34615	1
53	35466	1
53	38896	1
53	39804	1
53	46533	1
53	47912	1
53	53291	1
53	58806	1
53	63021	1
53	64005	1
53	65384	1
64	8878	1
64	17544	1
64	23997	1
64	28148	1
64	29578	1
64	49734	1
64	64709	1
69	4363	1
69	12569	1
69	27889	1
69	29800	1
69	35209	1
69	36237	1
69	45284	1
69	46072	1
69	47241	1
69	55127	1
76	26420	1
77	8866	1
77	11780	1
77	20128	1
77	23839	1
77	50224	1
77	61450	1
80	2458	1
80	4086	1
80	15590	1
80	15837	1
80	15991	1
80	16080	1
80	16140	1
80	16352	1
80	17062	1
80	18227	1
80	18736	1
80	25789	1
80	28243	1
80	30749	1
80	30870	1
80	34622	1
80	39748	1
80	40374	1
80	42587	1
80	43088	1
80	45275	1
80	46099	1
80	48560	1
80	50625	1
80	54056	1
80	54550	1
80	59727	1
80	61360	1
80	62905	1
88	50449	1
89	462	1
89	1281	1
89	11378	1
89	19413	1
89	23417	1
89	27248	1
89	27899	1
89	28744	1
89	32266	1
89	36294	1
89	47829	1
89	51938	1
89	52588	1
89	60296	1
89	61758	1
112	8642	1
112	15076	1
112	19935	1
112	20718	1
112	31881	1
112	33940	1
112	35428	1
112	36559	1
112	53805	1
112	53830	1
112	55073	1
125	14977	1
125	26555	1
125	53537	1
125	60273	1
127	4236	1
127	6998	1
127	7687	1
127	7894	1
127	9537	1
127	11087	1
127	14063	1
127	18429	1
127	20214	1
127	23257	1
127	27813	1
127	33282	1
127	53036	1
127	55387	1
127	56865	1
127	64228	1
130	9807	1
130	12527	1
130	32718	1
130	46172	1
130	47112	1
130	64125	1
131	29475	1
131	35419	1
138	19867	1
138	39386	1
138	40077	1
138	43372	1
138	53233	1
154	12832	1
154	20617	1
154	36853	1
154	40252	1
154	42772	1
154	46700	1
154	56627	1
154	56631	1
160	41236	1
167	7256	1
167	14083	1
167	20268	1
167	23608	1
167	30393	1
167	34354	1
167	39698	1
167	58919	1
167	58998	1
167	59190	1
167	62658	1
169	4325	1
169	6381	1
169	9772	1
169	12607	1
169	13482	1
169	16768	1
169	24805	1
169	35741	1
169	38817	1
169	39468	1
169	40057	1
169	41207	1
169	53641	1
169	62951	1
169	63693	1
172	335	1
172	895	1
172	5899	1
172	6296	1
172	6967	1
172	7711	1
172	10458	1
172	12468	1
172	12525	1
172	21291	1
172	21557	1
172	24736	1
172	27788	1
172	27976	1
172	31538	1
172	34777	1
172	48030	1
172	50915	1
172	58222	1
172	60181	1
172	60381	1
174	55484	1
177	14554	1
177	24255	1
177	49846	1
179	32175	1
179	57424	1
185	11921	1
185	15770	1
185	18470	1
185	27904	1
185	38010	1
185	47347	1
185	55574	1
185	64196	1
204	7755	1
204	19905	1
204	30814	1
204	52226	1
204	53248	1
204	55345	1
204	58387	1
205	5299	1
205	8960	1
205	9435	1
205	17418	1
205	25013	1
205	25639	1
205	37566	1
205	39547	1
205	40383	1
205	40760	1
205	42418	1
205	50234	1
205	55117	1
205	55559	1
210	3115	1
210	5667	1
210	9967	1
210	14436	1
210	26034	1
210	46040	1
210	47508	1
210	51361	1
210	52108	1
211	941	1
211	1709	1
211	4949	1
211	8003	1
211	13434	1
211	26953	1
211	27450	1
211	33671	1
211	36393	1
211	47434	1
211	53694	1
211	54778	1
211	56636	1
211	57315	1
211	59269	1
211	63944	1
211	64413	1
213	20209	1
213	37172	1
213	45473	1
213	46285	1
213	47657	1
213	48618	1
217	1988	1
217	4447	1
217	37044	1
217	59973	1
217	61631	1
217	62704	1
222	25213	1
222	29219	1
225	32105	1
225	38753	1
225	63503	1
231	24688	1
231	31420	1
243	6274	1
243	47209	1
243	55920	1
243	57502	1
243	58533	1
244	9645	1
244	16346	1
244	42126	1
244	52515	1
244	54674	1
244	57157	1
246	850	1
246	27095	1
246	33096	1
246	38161	1
251	57208	1
253	10675	1
253	17071	1
253	63742	1
259	12800	1
259	54941	1
265	41043	1
265	65222	1
